jid,id,groups,title,description,audit,remediation,references
3.18,3.18,Docker守护进程配置文件,确保daemon.json文件的权限设置为644或更严格（Scored）,请确认守护进程的 daemon.json 文件权限已正确设置为 644 或更加严格。,执行以下命令以验证文件权限是否正确设置为644或更严格：`stat -c %a /etc/docker/daemon.json`,运行 chmod 644 /etc/docker/daemon.json 这将把文件权限设置为644，该文件位于/etc/docker/daemon.json。,https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-configuration-file
3.19,3.19,Docker守护进程配置文件,确保/etc/default/docker文件的所有权设置为root:root（Scored）,请确认 /etc/default/docker 文件的所有权和组所有权已正确设置为 root。,执行以下命令以验证文件是否由root拥有和组拥有：`stat -c %U:%G /etc/default/docker | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root /etc/default/docker 这将为文件设置所有权和组所有权为root。,https://docs.docker.com/engine/admin/configuring/
3.2,3.2,Docker守护进程配置文件,确保 /etc/default/docker 文件权限设置为 644 或更高级别（Scored）,请确认 /etc/default/docker 文件的权限被正确设置为 644 或更加严格的权限。,执行以下命令以验证文件权限是否正确设置为644或更严格：`stat -c %a /etc/default/docker`,运行 chmod 644 /etc/default/docker 这条命令会将/etc/default/docker文件的权限设置为644。,https://docs.docker.com/engine/admin/configuring/
4.1,4.1,容器镜像和构建文件,确保为容器创建了一个用户（Scored）,在Dockerfile中为容器创建一个非root的用户。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: User={{ .Config.User }}'` 上面的命令应该返回容器用户名或用户ID。如果为空，则表示容器以root身份运行。,"请确保容器镜像的 Dockerfile 包含以下指令：`USER <用户名或 ID>`，其中用户名或 ID 指的是可以在容器基础镜像中找到的用户。如果容器基础镜像中没有特定的用户，则需要在 `USER` 指令之前添加 `useradd` 命令来添加特定用户。例如，可以在 Dockerfile 中添加以下代码来创建容器中的用户：
```
RUN useradd -d /home/username -m -s /bin/bash username
USER username
```
**注意：** 如果镜像中存在容器不需要的用户，请考虑删除它们。删除这些用户后，请提交镜像，然后生成新的容器实例以供使用。","https://github.com/docker/docker/issues/2918,https://github.com/docker/docker/pull/4572,https://github.com/docker/docker/issues/7906"
4.2,4.2,容器镜像和构建文件,确保容器使用受信任的基础镜像（Not Scored）,请确保容器镜像是从零开始写的，或者基于通过安全通道下载的其他已建立和信任的基础镜像。,步骤1-通过执行以下命令检查Docker主机是否使用Docker映像：`Docker images`这将列出Docker主机上当前可用的所有容器映像。采访系统管理员，并获得证据，证明镜像列表是通过安全通道从受信任的来源或从受信任、安全的私人Docker注册表获得的。步骤2-对于在Docker主机上找到的每个Docker映像，检查映像的构建方式，以验证是否来自可信来源和强化配置：`Docker history <imageName>`,#NAME?,"https://titanous.com/posts/docker-insecurity,https://registry.hub.docker.com/,https://github.com/docker/docker/issues/8093,https://docs.docker.com/engine/reference/commandline/pull/,https://github.com/docker/docker/pull/11109,https://blog.docker.com/2015/11/docker-trusted-registry-1-4"
4.3,4.3,容器镜像和构建文件,确保容器中没有安装不必要的软件包（Not Scored）,容器往往是操作系统的精简版本，不要安装与容器的目的无关的任何内容。,步骤1：通过执行以下命令列出容器的所有运行实例：`docker ps -quiet`步骤2：对于每个容器实例，执行以下或等效命令：`docker exec $INSTANCE_ID rpm -qa`。上面的命令将列出容器上安装的程序包。审查清单并确保其合法性。,首先，不要在容器中安装与目的无关的任何东西。如果镜像中有一些您的容器不使用的软件包，请将它们卸载。 如果可能的话，考虑使用最小的基础镜像，而不是标准的Redhat / Centos / Debian镜像。一些选项包括BusyBox和Alpine。这不仅可以将镜像大小从>150Mb减小到约20 Mb，而且特权升级的工具和路径也更少。您甚至可以在leaf / production容器的最终强化措施中删除软件包安装程序。,"https://docs.docker.com/userguide/dockerimages/,https://github.com/progrium/busybox,https://github.com/progrium/busybox"
4.4,4.4,容器镜像和构建文件,确保镜像得到扫描并重新构建，包括安全补丁（Not Scored）,应定期扫描镜像以查找任何漏洞。重新构建镜像以包含补丁，然后从中实例化新容器。,步骤1：通过执行以下命令列出容器的所有运行实例：`docker ps --quiet` 步骤2：对于每个容器实例，执行以下或等效命令以查找容器中安装的包的列表。确保安装了各种受影响包的安全更新。`docker exec $INSTANCE_ID rpm -qa` 或者，您可以运行映像漏洞y扫描工具，可以扫描生态系统中的所有镜像，然后根据您的补丁管理程序为检测到的漏洞应用补丁。,"按以下步骤进行安全补丁程序的镜像重建：

**步骤1**：拉取所有基础镜像（即，给定您的Dockerfile集，提取所有在FROM指令中声明的镜像，并重新拉取它们以检查是否有更新/修补版本）也要在镜像中修补软件包。Docker pull

**步骤2**：强制重建每个镜像：docker build --no-cache

**步骤3**：使用更新后的镜像重新启动所有容器。您还可以在Dockerfile中使用ONBUILD指令，触发用作基础镜像的特定更新指令。","https://docs.docker.com/userguide/dockerimages/,https://docs.docker.com/docker-cloud/builds/image-scan/,https://blog.docker.com/2016/05/docker-security-scanning/,https://docs.docker.com/engine/reference/builder/#/onbuild"
4.5,4.5,容器镜像和构建文件,确保 Docker 的内容信任功能已启用（Scored）,内容可信任度默认情况下是被禁用的。您应该启用它。,`echo $DOCKER_CONTENT_TRUST` 应该返回 1 ,为了在Bash shell中启用内容信任，请输入以下命令：export DOCKER_CONTENT_TRUST=1。或者，在您的配置文件中设置此环境变量，以便在每次登录时启用内容信任。,"https://docs.docker.com/engine/security/trust/content_trust/,https://docs.docker.com/engine/reference/commandline/cli/#notary,https://docs.docker.com/engine/reference/commandline/cli/#environment-variables"
4.6,4.6,容器镜像和构建文件,确保在容器镜像中已添加HEALTHCHECK指令（Scored）,在您的Docker容器映像中添加HEALTHCHECK指令，以在运行容器上执行健康检查。,运行以下命令，并确保docker映像设置了适当的HEALTHCHECK指令`docker inspect --format='{{ .Config.Healthcheck }}' <IMAGE>`,请遵循Docker文档，使用HEALTHCHECK指令重新构建您的容器镜像。,https://docs.docker.com/engine/reference/builder/#healthcheck
4.7,4.7,容器镜像和构建文件,请确保Dockerfile中不独立使用更新指令（Not Scored）,请勿在Dockerfile中单独或单行使用像apt-get update之类的更新指令。,步骤1:运行以下命令以获取镜像列表：`docker images` 步骤2:对上面列表中的每个镜像运行以下命令，并查找单行中的任何更新指令：`docker history <Image_ID>`或者，如果您可以访问该镜像的Dockerfile，请验证是否没有如上所述的更新指令。,在安装软件包时，请使用更新说明和安装说明（或任何其他说明）以及版本锁定，以获取所需版本并打破缓存。 或者，您可以在 Docker 构建过程中使用 --no-cache 标志，以避免使用缓存的层。,"https://docs.docker.com/engine/userguide/eng-image/dockerfile_best-practices/#run,https://github.com/docker/docker/issues/3313"
4.8,4.8,容器镜像和构建文件,请确保镜像中的setuid和setgid权限已被删除（Not Scored）,从镜像中移除setuid和setgid权限可以防止特权升级攻击在容器中发生。,对映像运行以下命令以列出具有setuid和setgid权限的可执行文件：`docker run <Image_ID> find / -perm +6000 -type f -exec ls -ld {} \; 2> /dev/null`仔细检查列表，确保它是合法的。,只允许对需要的可执行文件设置setuid和setgid权限。您可以在构建时通过在Dockerfile中添加以下命令来删除这些权限，最好在Dockerfile的末尾：RUN find / -perm +6000 -type f -exec chmod a-s {} \; || true。, 
4.9,4.9,容器镜像和构建文件,请在Dockerfile中使用COPY代替ADD（Not Scored）,在Dockerfile中使用COPY指令，而不是ADD指令。,步骤1：运行以下命令以获取镜像列表：`docker images`步骤2：对上面列表中的每个镜像运行以下命令，并查找任何ADD指令：`docker history <Image_ID>`或者，如果您可以访问该镜像的Dockerfile，请验证是否没有ADD指令。,在 Dockerfile 中使用 COPY 指令。,https://docs.docker.com/engine/userguide/eng-image/dockerfile_best-practices/#add-or-copy
4.1,4.1,容器镜像和构建文件,请确保不将秘密信息存储在Docker文件中（Not Scored）,请勿在Dockerfiles中存储任何机密信息。,第1步：运行以下命令以获取镜像列表：`docker images` 第2步：对上面列表中的每个镜像运行以下命令，并查找任何机密：`docker history <Image_ID>`。或者，如果您有权访问该镜像的Dockerfile，请验证是否没有上述机密。,请勿在Dockerfile中存储任何类型的机密信息。,"https://github.com/docker/docker/issues/13490,https://avicoder.me/2016/07/22/Twitter-Vine-Source-code-dump/"
4.11,4.11,容器镜像和构建文件,确保只安装经过验证的软件包（Not Scored）,在安装镜像中的软件包之前，请验证其真实性。,步骤1：运行以下命令以获取镜像列表：`docker images` 步骤2：对上面列表中的每个镜像运行以下命令，并查看如何确定包的真实性。这可以通过使用GPG密钥或其他安全包分发机制： `docker history <Image_ID>`。或者，如果您可以访问该镜像的Dockerfile，验证检查包的可靠性。,请使用GPG密钥下载和验证软件包，或者选择任何其他安全的软件包分发机制。,"http://www.oreilly.com/webops-perf/free/files/docker-security.pdf,https://github.com/docker-library/httpd/blob/12bf8c8883340c98b3988a7bade8ef2d0d6dcf8a/2.4/Dockerfile,https://github.com/docker-library/php/blob/d8a4ccf4d620ec866d5b42335b699742df08c5f0/7.0/alpine/Dockerfile,https://access.redhat.com/security/team/key"
5.1,5.1,容器运行时,确保启用了 AppArmor 程序配置文件（Scored）,AppArmor 是一个高效且易于使用的 Linux 应用程序安全系统。它在许多 Linux 发行版中默认可用，如 Debian 和 Ubuntu。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: AppArmorProfile={{ .AppArmorProfile }}'` 上面的命令应该为每个容器实例返回一个有效的AppArmor配置文件。,"如果你的Linux操作系统支持AppArmor，建议使用它。你可能需要执行以下步骤：

1.确认是否已安装AppArmor。如果没有，请安装。

2.创建或导入适用于Docker容器的AppArmor配置文件。

3.将该配置文件设置为强制模式。

4.使用自定义的AppArmor配置文件启动Docker容器。例如：docker run --interactive --tty --security-opt=""apparmor:PROFILENAME"" centos /bin/bash，或者你也可以保留Docker的默认AppArmor配置文件。","https://docs.docker.com/engine/security/apparmor/,https://docs.docker.com/engine/reference/run/#security-configuration,https://docs.docker.com/engine/security/security/#other-kernel-security-features"
5.2,5.2,容器运行时,确保已设置 SELinux 安全选项如果 SELinux 存在（Scored）,SELinux是一种有效且易于使用的Linux应用程序安全系统。它默认可用于许多Linux发行版，如Red Hat和Fedora。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: SecurityOpt={{ .HostConfig.SecurityOpt }}'` 上面的命令应该返回当前为容器配置的所有安全选项。,如果您的Linux操作系统适用于SELinux，请使用它。您可能需要遵循以下步骤：1.设置SELinux状态。2.设置SELinux策略。3.创建或导入Docker容器的SELinux策略模板。4.使用启用SELinux的守护程序模式启动Docker。例如，docker daemon --selinux-enabled。5.使用安全选项启动Docker容器。例如，docker run --interactive --tty --security-opt label=level:TopSecret centos /bin/bash。,"https://docs.docker.com/engine/security/security/#other-kernel-security-features,https://docs.docker.com/engine/reference/run/#security-configuration,https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux_atomic_host/7/html/container_security_guide/docker_selinux_security_policy"
5.3,5.3,容器运行时,确保容器中限制了 Linux 内核的功能 （Scored）,默认情况下，Docker会以一组受限制的Linux内核特权启动容器，这意味着任何进程可以被授予所需的特权，而不必使用root访问。通过使用Linux内核特权，进程不需要以root身份运行，即使在通常需要root权限的大多数特定区域。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: CapAdd={{ .HostConfig.CapAdd }} CapDrop={{ .HostConfig.CapDrop }}'` 验证添加和删除的Linux内核功能是否与每个容器实例的容器进程所需的功能一致。,"执行以下命令以添加所需的能力：
> docker run --cap-add={""Capability 1"",""Capability 2""} 

例如，执行以下命令：
docker run --interactive --tty --cap-add={""NET_ADMIN"",""SYS_ADMIN""} centos:latest /bin/bash 

执行以下命令以删除不需要的能力：
> docker run --cap-drop={""Capability 1"",""Capability 2""} 

例如，执行以下命令：
docker run --interactive --tty --cap-drop={""SETUID"",""SETGID""} centos:latest /bin/bash 

或者，您也可以选择删除所有能力，并仅添加所需的能力：
> docker run --cap-drop=all --cap-add={""Capability 1"",""Capability 2""} 

例如，执行以下命令：
docker run --interactive --tty --cap-drop=all --cap- add={""NET_ADMIN"",""SYS_ADMIN""} centos:latest /bin/bash",https://docs.docker.com/engine/security/security/#linux-kernel-capabilities
5.4,5.4,容器运行时,确保不使用特权容器（Scored）,使用 --privileged 参数会将所有Linux内核功能授予容器，从而覆盖 --cap-add 和 --cap-drop 参数。确保不要使用该参数。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Privileged={{ .HostConfig.Privileged }}'` 上面的命令应该为每个容器实例返回Privileged=false。,请勿使用--privileged标志运行容器。例如，不要像下面这样启动容器：docker run --interactive --tty --privileged centos /bin/bash。,https://docs.docker.com/engine/reference/run/#runtime-privilege-and-linux-capabilities
5.5,5.5,容器运行时,确保敏感主机系统目录未挂载到容器中 （Scored）,敏感的主机系统目录，例如以下目录，不应在容器中以读写模式挂载为卷。/ /boot /dev /etc /lib /proc /sys /usr。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Volumes={{ .Mounts }}'` 上面的命令将返回当前映射目录的列表，以及是否以读写模式为每个容器实例装载这些目录。,请勿将敏感目录挂载到容器中，特别是在读写模式下。,https://docs.docker.com/engine/tutorials/dockervolumes/
5.6,5.6,容器运行时,确保容器中不运行ssh（Scored）,容器内不应该运行SSH服务器。您应该通过SSH登录Docker宿主机，并使用工具如nsenter，从远程主机进入容器。,步骤1：通过执行以下命令列出容器的所有运行实例：`docker ps --quiet` 步骤2：对于每个容器实例，执行以下命令：`docker exec $INSTANCE_ID ps -el`确保SSH服务器没有进程。,从容器中卸载SSH服务器，并使用nsenter或任何其他命令，例如docker exec或docker attach与容器实例进行交互。 docker exec --interactive --tty $INSTANCE_ID sh OR docker attach $INSTANCE_ID。, 
5.7,5.7,容器运行时,确保特权端口没有映射在容器中（Scored）,TCP/IP端口号在1024以下被视为特权端口。出于各种安全原因，普通用户和进程不被允许使用这些端口。Docker允许将容器端口映射到特权端口。,通过执行以下命令列出所有正在运行的容器实例及其端口映射：`docker ps --quiet | xargs docker inspect --format '{{ .Id }}: Ports={{ .NetworkSettings.Ports }}'` 查看列表，确保容器端口未映射到1024以下的主机端口号。,在启动容器时，不要将容器端口映射到特权主机端口。此外，请确保Dockerfile中没有容器到主机特权端口映射声明。,https://docs.docker.com/engine/userguide/networking/
5.8,5.8,容器运行时,确保容器上只开放所需的端口（Scored）,一个容器镜像的Dockerfile定义了一个容器实例默认开放的端口。这个端口列表对你在容器内部运行的应用程序可能是相关的，也可能不相关。,通过执行以下命令，列出容器的所有正在运行的实例及其端口映射：`docker ps --quiet | xargs docker inspect --format '{{ .Id }}: Ports={{ .NetworkSettings.Ports }}'` 查看列表，确保映射的端口是容器真正需要的端口。,请修正容器镜像的Dockerfile，仅暴露所需的端口，避免使用-P（大写）或--publish-all标志，从而完全忽略Dockerfile中定义的端口列表。使用小写的-p或--publish标志显式定义特定容器实例所需的端口。例如，docker run --interactive --tty --publish 5000 --publish 5001 --publish 5002 centos /bin/bash。,https://docs.docker.com/engine/userguide/networking/
5.9,5.9,容器运行时,确保主机的网络命名空间未共享（Scored）,当容器的网络模式设置为--net=host时，容器的网络不会被隔离。换言之，这意味着Docker不会将容器的网络容器化。这意味着容器的网络独立于主Docker宿主机之外，并且可以完全访问主机的网络接口。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: NetworkMode={{ .HostConfig.NetworkMode }}'` 如果上面的命令返回NetworkMode=host，则表示在容器启动时传递了--net=host选项，这是不合规的。,启动容器时不要使用--net=host选项。,"https://docs.docker.com/engine/userguide/networking/,https://docs.docker.com/engine/reference/run/#network-settings"
5.1,5.1,容器运行时,确保容器的内存使用量受到限制（Scored）,默认情况下，Docker主机上的所有容器共享资源。通过使用Docker主机的资源管理功能，例如内存限制，您可以控制容器可以消耗的内存量。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Memory={{ .HostConfig.Memory }}'` 如果上面的命令返回0，则表示内存限制不合理。如果上面的命令返回一个非零值，则表示内存限制已配置。,请尽可能减少容器使用的内存。一定要使用--memory参数来启动容器。例如，您可以按照以下方式启动容器：docker run --interactive --tty --memory 256m centos /bin/bash。在上述示例中，容器的内存限制为256 MB。注意：如果有内存限制，下面的命令的输出将返回科学计数法的值。 docker inspect --format='{{.Config.Memory}}' 7c5a2d4c7fe0。例如，如果上述容器实例的内存限制为256 MB，则上述命令的输出将为2.68435456e+08而不是256m。您应该使用科学计算器或编程方法将此值转换为实际值。,"https://goldmann.pl/blog/2014/09/11/resource-management-in-docker/,https://docs.docker.com/engine/reference/commandline/run/#options,https://docs.docker.com/engine/admin/runmetrics/"
5.11,5.11,容器运行时,确保容器的CPU优先级设置适当（Scored）,默认情况下，Docker主机上的所有容器共享资源。通过使用Docker主机的资源管理功能（例如CPU份额），您可以控制容器可以使用的主机CPU资源。这样可以更好地管理和优化主机上的资源分配。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: CpuShares={{ .HostConfig.CpuShares }}'` 如果上面的命令返回0或1024，则表示CPU共享配置不合理。如果上述命令返回1024以外的非零值，则表示CPU共享已合理配置。,管理容器之间的CPU份额。为此，您可以使用--cpu-shares参数启动容器。例如，您可以像下面这样运行一个容器：docker run --interactive --tty --cpu-shares 512 centos /bin/bash。在上面的示例中，容器以其他容器使用CPU份额的50%启动。因此，如果其他容器的CPU份额为80％，则此容器的CPU份额为40％。 注意：每个新容器默认情况下都会有1024个CPU份额。但是，如果运行审计部分中提到的命令，则此值将显示为0。   或者， 1. 导航到/sys/fs/cgroup/cpu/system.slice/目录。 2. 使用docker ps检查容器实例ID。 3. 现在，在上述目录（步骤1中）内，您将拥有一个名称为docker- <Instance ID> .scope的目录。例如，docker- 4acae729e8659c6be696ee35b2237cc1fe4edd2672e9186434c5116e1a6fbed6.scope。转到此目录。 4. 您将找到一个名为cpu.shares的文件。执行cat cpu.shares。这总是基于系统给出CPU份额的值。因此，即使没有使用-d或--cpu-shares参数在docker run命令中配置CPU份额，此文件也将具有值1024。 如果我们将一个容器的CPU份额设置为512，则它将获得其他容器的CPU时间的一半。因此，将1024视为100％，然后进行快速计算，以推导出应为各自的CPU份额设置多少。例如，使用512如果要设置50％，使用256如果要设置25％。,"https://goldmann.pl/blog/2014/09/11/resource-management-in-docker/,https://docs.docker.com/engine/reference/commandline/run/#options,https://docs.docker.com/engine/admin/runmetrics/"
5.12,5.12,容器运行时,确保容器的根文件系统已以只读方式挂载（Scored）,使用Docker运行命令时，应当使用--read-only选项将容器的根文件系统视为“黄金镜像”。这样可以防止容器运行时对根文件系统进行任何写操作，并强制实施不变基础设施的原则。,在docker主机上运行以下命令：`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: ReadonlyRootfs={{ .HostConfig.ReadonlyRootfs }}'` 如果上面的命令返回true，则表示容器的根文件系统是以只读方式安装的。如果以上命令返回false，则表示该容器的根系统是可写的。,"在容器的运行时添加一个--read-only标志，以强制将容器的根文件系统挂载为只读。docker run <运行参数> --read-only <容器镜像名称或ID> <命令>。在容器的运行时启用--read-only选项应该由管理员使用，以强制容器的可执行进程只将容器数据写入显式存储位置，在容器的运行时期间。在容器运行时期间显式存储位置的示例包括但不限于：1.使用--tmpfs选项挂载临时文件系统以进行非持久性数据写入。docker run --interactive --tty --read-only --tmpfs ""/run"" --tmpfs ""/tmp"" centos /bin/bash。2.在容器的运行时启用Docker rw挂载，以将容器数据直接持久保存在Docker主机文件系统中。docker run --interactive --tty --read-only -v /opt/app/data:/run/app/data:rw centos /bin/bash。3.利用Docker共享存储卷插件，将Docker数据卷用于容器数据持久性。docker volume create -d convoy --opt o=size=20GB my-named-volume docker run --interactive --tty --read-only -v my-named-volume:/run/app/data centos /bin/bash。4.在容器的运行时期间传输容器数据到Docker外部，以使容器数据持久保存。示例包括托管的数据库、网络文件共享和API。","http://docs.docker.com/reference/commandline/cli/#run,https://docs.docker.com/engine/tutorials/dockervolumes/,http://www.projectatomic.io/blog/2015/12/making-docker-images-write-only-in-production/,https://docs.docker.com/engine/reference/commandline/run/#mount-tmpfs-tmpfs,https://docs.docker.com/engine/tutorials/dockervolumes/#creating-and-mounting-a-data-volume-container"
5.13,5.13,容器运行时,确保容器入站流量绑定到特定的主机接口（Scored）,默认情况下，Docker容器可以连接到外部世界，但外部世界无法连接到容器。每个出站连接看起来都是来自主机的一个IP地址。只允许通过主机机器上的特定外部接口联系容器服务。,通过执行以下命令列出容器的所有正在运行的实例及其端口映射：`docker ps --quiet | xargs docker inspect --format '{{ .Id }}: Ports={{ .NetworkSettings.Ports }}'` 查看列表，确保暴露的容器端口绑定到特定接口，而不是绑定到通配符IP地址 0.0.0.0。,将容器端口绑定到所需的主机端口上的特定主机接口。例如，docker run --detach --publish 10.2.3.4:49153:80 nginx。在上面的示例中，容器端口80绑定到49153号主机端口，仅接受来自10.2.3.4外部接口的传入连接。,https://docs.docker.com/engine/userguide/networking/
5.14,5.14,容器运行时,确保 'on-failure' 容器重启策略设置为 '5'（Scored）,通过在docker run命令中使用--restart标志，您可以为容器指定重启策略，以指定容器在退出时应该或不应该重新启动。您应该选择on-failure重启策略并将重启尝试限制为5次。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: RestartPolicyName={{ .HostConfig.RestartPolicy.Name }} MaximumRetryCount={{ .HostConfig.RestartPolicy.MaximumRetryCount }}'` 如果上述命令返回 RestartPolicyName=always，则系统未按要求配置，因此此建议不符合要求。如果上面的命令返回 RestartPolicyName=no 或仅返回 RestartPolicyName=，则不使用重新启动策略，容器将永远不会自行重新启动。因此，该建议不适用，可以认为是符合要求的。如果上面的命令返回 RestartPolicyName=on-failure，则通过查看 MaximumRetryCount 来验证重新启动尝试的次数是否设置为5次或更少。,如果希望容器自行重新启动，可以像以下这样启动容器：docker run --detach --restart=on-failure:5 nginx。,https://docs.docker.com/engine/reference/commandline/run/#restart-policies-restart
5.15,5.15,容器运行时,确保主机的进程命名空间未共享（Scored）,进程ID（PID）命名空间可以隔离进程ID编号空间，这意味着不同PID命名空间中的进程可以具有相同的PID。这是容器和主机之间的进程级隔离。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: PidMode={{ .HostConfig.PidMode }}'` 如果上面的命令返回host，则意味着主机PID命名空间与容器共享，否则符合此建议。,请勿使用--pid=host参数启动容器。例如，不要像下面这样启动容器：docker run --interactive --tty --pid=host centos /bin/bash。,https://docs.docker.com/engine/reference/run/#pid-settings-pid
5.16,5.16,容器运行时,确保主机的IPC命名空间未被共享（Scored）,IPC (POSIX/SysV IPC) 命名空间提供了命名的共享内存段、信号量和消息队列的隔离。因此，在主机上，IPC 命名空间不应与容器共享，应保持隔离。,"`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: IpcMode={{ .HostConfig.IpcMode }}'` 如果上面的命令返回host，则表示主机IPC命名空间与容器共享, 不符合要求。如果上面的命令什么也不返回，那么主机的IPC命名空间就不共享, 符合要求。",请勿使用--ipc=host参数启动容器。例如，不要像下面这样启动容器：docker run --interactive --tty --ipc=host centos /bin/bash。,https://docs.docker.com/engine/reference/run/#ipc-settings-ipc
5.17,5.17,容器运行时,确保主机设备不会直接暴露给容器 (Not Scored),在运行时，可以将主机设备直接暴露给容器。不要直接将主机设备暴露给容器，特别是对于不受信任的容器。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Devices={{ .HostConfig.Devices }}'` 上述命令将列出每个设备，并提供以下信息： CgroupPermissions - 例如，rwm；PathInContainer - 容器内的设备路径; PathOnHost - 主机上的设备路径; 验证是否需要从容器中访问主机设备，以及是否正确设置了所需的权限。如果上面的命令返回[]，则容器无法访问主机设备。可以认为该建议是符合要求的。,"请勿直接将主机设备暴露给容器。如果必须暴露主机设备给容器，则需要使用正确的权限设置。例如，不要按以下方式启动容器：

docker run --interactive --tty --device=/dev/tty0:/dev/tty0:rwm --device=/dev/temp_sda:/dev/temp_sda:rwm centos bash

相反，应使用正确的权限设置共享主机设备，例如：

docker run --interactive --tty --device=/dev/tty0:/dev/tty0:rw --device=/dev/temp_sda:/dev/temp_sda:r centos bash",https://docs.docker.com/engine/reference/commandline/run/#options
5.18,5.18,容器运行时,保证默认的 ulimit 在运行时被覆盖，仅在需要时进行（Not Scored）,默认ulimit设置在Docker守护进程级别。但是，在容器运行时，如果需要，您可以覆盖默认ulimit设置。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Ulimits={{ .HostConfig.Ulimits }}'` 上面的命令应该为每个容器实例返回 Ulimits=<no value>，直到出现异常并且需要重写默认的ulimit设置。,只有在必要的情况下才覆盖默认的ulimit设置。例如，要覆盖默认的ulimit设置，请按以下方式启动容器： docker run --ulimit nofile=1024:1024 --interactive --tty centos /bin/bash,https://docs.docker.com/engine/reference/commandline/run/#set-ulimits-in-container-ulimit
5.19,5.19,容器运行时,确保未将挂载传播模式设置为共享（Scored）,挂载传播模式允许在容器上以共享、从属或私有模式挂载卷。在没有必要的情况下不要使用共享挂载传播模式。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: Propagation={{range $mnt := .Mounts}} {{json $mnt.Propagation}} {{end}}'` 上面的命令将返回已挂载卷的 Propagation 模式。除非需要，否则不应将 Propagation 模式设置为 shared。如果没有挂载(mount)，上述命令可能会引发错误。在这种情况下，本建议不适用。,"请勿将卷挂载为共享模式传播。例如，不要像下面这样启动容器：
docker run <运行参数> --volume=/hostPath:/containerPath:shared <容器镜像名称或ID> <命令>。","https://github.com/docker/docker/pull/17034,https://docs.docker.com/engine/reference/run/#volume-shared-filesystems,https://www.kernel.org/doc/Documentation/filesystems/sharedsubtree.txt"
5.2,5.2,容器运行时,确保主机的UTS名称空间未共享（Scored）,UTS命名空间提供了两个系统标识符的隔离：主机名和NIS域名。它被用于设置在该命名空间中运行的进程可见的主机名和域名。在容器内运行的进程通常不需要知道主机名和域名。因此，该命名空间不应与主机共享。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: UTSMode={{ .HostConfig.UTSMode }}'` 如果上面的命令返回host，则意味着主机UTS命名空间与容器共享，不符合要求。如果上面的命令什么也不返回，那么主机的UTS命名空间就不共享了，符合要求。,请勿使用 --uts=host 参数启动容器。例如，不要按以下方式启动容器：docker run --rm --interactive --tty --uts=host rhel7.2,https://docs.docker.com/engine/reference/run/#uts-settings-uts
5.21,5.21,容器运行时,确保默认的 seccomp 服务配置文件未被禁用（Scored）,Seccomp过滤器为进程提供了一种指定传入系统调用过滤器的方法。默认Docker的Seccomp配置基于白名单，并允许311个系统调用，拒绝其他所有调用。除非它妨碍了您的容器应用程序的使用，否则不应将其禁用。,`docker ps --quiet --all | xargs docker inspect --format '{{ .Id }}: SecurityOpt={{ .HostConfig.SecurityOpt }}'` 上述命令应返回＜no value＞或您修改后的seccomp配置文件。如果它返回[seccomp:unconfined]，则意味着此建议不符合要求，并且容器在没有任何seccomp配置文件的情况下运行。,默认情况下，seccomp配置文件已启用。除非您想要修改并使用修改后的seccomp配置文件，否则无需进行任何操作。,"https://docs.docker.com/engine/reference/run/#security-configuration,https://github.com/docker/docker/blob/master/profiles/seccomp/default.json,https://docs.docker.com/engine/security/seccomp/,https://www.kernel.org/doc/Documentation/prctl/seccomp_filter.txt,https://github.com/docker/docker/issues/22870"
5.22,5.22,容器运行时,确保不使用特权选项执行docker exec命令（Scored）,请勿使用 --privileged 选项进行 docker exec。,如果按照第1节的规定启用了审核，则可以使用以下命令筛选出使用--privileged选项的docker exec命令: `ausearch -k docker | grep exec | grep privileged`,请勿在docker exec命令中使用--privileged选项。,https://docs.docker.com/engine/reference/commandline/exec/
5.23,5.23,容器运行时,确保不使用带有user=root选项的docker exec命令（Scored）,请勿使用--user选项进行Docker exec操作。,如果按照第1节的规定启用了审核，则可以使用以下命令筛选出使用 --user 选项的docker exec命令 `ausearch -k docker | grep exec | grep user`,请勿在docker exec命令中使用--user选项。,https://docs.docker.com/engine/reference/commandline/exec/
